iter	RMSE
0	14.89281365
1	14.5526837
2	14.15317678
3	13.8002856
4	13.43359267
5	13.1086329
6	12.80397102
7	12.55022098
8	12.26577345
9	11.96793324
10	11.6647957
11	11.42178475
12	11.20122307
13	10.94648998
14	10.70139032
15	10.45566547
16	10.23529125
17	10.02173113
18	9.813336494
19	9.614346249
20	9.438060628
21	9.26374183
22	9.080587401
23	8.919809216
24	8.762662814
25	8.621798506
26	8.469858382
27	8.331700311
28	8.192649855
29	8.067607031
30	7.960401152
31	7.849459977
32	7.741243873
33	7.630188887
34	7.524290275
35	7.422801535
36	7.326591489
37	7.246787873
38	7.161716932
39	7.074172019
40	7.011417582
41	6.949027051
42	6.867855148
43	6.809971485
44	6.743350341
45	6.683192248
46	6.615717717
47	6.554787222
48	6.493507043
49	6.433438158
50	6.385625801
51	6.332473756
52	6.282503347
53	6.231113341
54	6.186019875
55	6.145327503
56	6.108753832
57	6.072123461
58	6.0367439
59	6.00350662
60	5.965077446
61	5.926633047
62	5.893295146
63	5.858319954
64	5.828383131
65	5.799252152
66	5.766494468
67	5.73592613
68	5.712329183
69	5.689479494
70	5.665294719
71	5.642478084
72	5.619324954
73	5.598133189
74	5.576690393
75	5.558425637
76	5.539345131
77	5.522657695
78	5.507476834
79	5.488752577
80	5.477912276
81	5.457292576
82	5.440480864
83	5.425420615
84	5.413505497
85	5.397907396
86	5.383337822
87	5.368089438
88	5.357225646
89	5.339639629
90	5.323801499
91	5.311957203
92	5.303621735
93	5.294595014
94	5.289616201
95	5.27918921
96	5.26846658
97	5.258857289
98	5.252376436
99	5.240393239
100	5.229837868
101	5.220077913
102	5.211543041
103	5.199087425
104	5.192218521
105	5.181854791
106	5.17312535
107	5.164123234
108	5.154741443
109	5.143598633
110	5.136806206
111	5.131325955
112	5.125415337
113	5.119464412
114	5.112569767
115	5.104701251
116	5.098214901
117	5.093679432
118	5.084175245
119	5.077798129
120	5.076656463
121	5.071981494
122	5.065201259
123	5.061746806
124	5.056044017
125	5.045708159
126	5.041018142
127	5.036678846
128	5.028062017
129	5.022241984
130	5.017143466
131	5.01258835
132	5.004996501
133	4.997093711
134	4.988264898
135	4.98408047
136	4.976766709
137	4.973724089
138	4.969918571
139	4.965106255
140	4.957954405
141	4.953363907
142	4.947374444
143	4.942714723
144	4.938619919
145	4.934899199
146	4.931972524
147	4.927243165
148	4.920148568
149	4.916906043
150	4.915559138
151	4.910325936
152	4.904681533
153	4.900124811
154	4.896998766
155	4.891854604
156	4.888026973
157	4.88430899
158	4.87934688
159	4.877907351
160	4.874912078
161	4.869753588
162	4.867338328
163	4.864452262
164	4.860760483
165	4.856476521
166	4.85213525
167	4.847667727
168	4.844789249
169	4.839734077
170	4.834145785
171	4.829928213
172	4.825523377
173	4.822700875
174	4.820600198
175	4.815293568
176	4.810273578
177	4.808140052
178	4.801680354
179	4.80017297
180	4.795232917
181	4.789399106
182	4.786471904
183	4.784687372
184	4.782176715
185	4.779857774
186	4.774313458
187	4.771590963
188	4.765276914
189	4.762638485
190	4.757724011
191	4.754232166
192	4.75284287
193	4.748957285
194	4.747798826
195	4.746237912
196	4.743851008
197	4.740967374
198	4.734755014
199	4.728990985
200	4.72430907
201	4.722687936
202	4.721748297
203	4.717573501
204	4.712329474
205	4.70821988
206	4.706458511
207	4.704174931
208	4.699242436
209	4.697840961
210	4.695497591
211	4.691996869
212	4.687428847
213	4.685933643
214	4.68251984
215	4.68109228
216	4.678610855
217	4.676018245
218	4.673078
219	4.670889377
220	4.667742442
221	4.663316675
222	4.659568225
223	4.656258541
224	4.650060506
225	4.647732391
226	4.645469308
227	4.642631918
228	4.639290443
229	4.636304164
230	4.630736713
231	4.625592191
232	4.621376163
233	4.616693581
234	4.612478756
235	4.610746799
236	4.609170847
237	4.606226241
238	4.605015953
239	4.600414561
240	4.596948108
241	4.593949465
242	4.592039888
243	4.589917732
244	4.584591488
245	4.583292288
246	4.57807583
247	4.571168104
248	4.567395088
249	4.565377539
250	4.562140119
251	4.561159047
252	4.560369762
253	4.558367414
254	4.552964914
255	4.551016009
256	4.545145407
257	4.540057507
258	4.533003567
259	4.531133749
260	4.528876965
261	4.524115497
262	4.521649869
263	4.517093188
264	4.514262097
265	4.511073512
266	4.503983731
267	4.503092251
268	4.499866013
269	4.499143082
270	4.49239465
271	4.490087597
272	4.489404814
273	4.484835158
274	4.482324125
275	4.479411054
276	4.476858759
277	4.474171005
278	4.470131785
279	4.46779024
280	4.461184979
281	4.458124075
282	4.451938946
283	4.448710727
284	4.44323684
285	4.441401566
286	4.436176426
287	4.429516209
288	4.421898766
289	4.418456215
290	4.415775378
291	4.413184343
292	4.412544666
293	4.410421202
294	4.404971737
295	4.402882419
296	4.396879024
297	4.396545823
298	4.39326184
299	4.387312304
300	4.384692035
301	4.380179329
302	4.374904969
303	4.374392457
304	4.369512713
305	4.365048839
306	4.359960287
307	4.356050562
308	4.35402325
309	4.348176317
310	4.340731609
311	4.338836362
312	4.335238739
313	4.333308154
314	4.329946646
315	4.328806022
316	4.325371612
317	4.320495914
318	4.315691111
319	4.309532931
320	4.304738682
321	4.30257675
322	4.302312806
323	4.301746144
324	4.296255603
325	4.292473449
326	4.289913345
327	4.286862297
328	4.28452127
329	4.281475656
330	4.274745814
331	4.274505344
332	4.270693386
333	4.266056824
