iter	Passed	Remaining
0	301	301409
1	302	151172
2	304	101075
3	305	75987
4	306	60980
5	307	50998
6	308	43812
7	310	38446
8	311	34253
9	312	30900
10	313	28161
11	314	25876
12	315	23948
13	316	22296
14	317	20864
15	318	19608
16	319	18496
17	321	17532
18	322	16648
19	323	15851
20	324	15143
21	326	14502
22	327	13904
23	328	13368
24	330	12903
25	332	12441
26	333	12008
27	334	11610
28	336	11250
29	337	10908
30	338	10586
31	339	10281
32	341	10004
33	343	9752
34	344	9491
35	345	9252
36	346	9029
37	348	8810
38	349	8608
39	351	8428
40	352	8239
41	353	8062
42	354	7892
43	356	7737
44	357	7580
45	358	7429
46	360	7306
47	361	7173
48	362	7043
49	364	6922
50	365	6803
51	366	6684
52	367	6569
53	368	6459
54	369	6353
55	371	6254
56	372	6158
57	373	6067
58	374	5978
59	376	5895
60	377	5811
61	378	5728
62	379	5648
63	380	5568
64	381	5491
65	382	5417
66	383	5346
67	384	5275
68	386	5208
69	387	5144
70	388	5080
71	390	5036
72	392	4981
73	393	4925
74	394	4868
75	396	4817
76	397	4766
77	398	4715
78	400	4665
79	401	4616
80	402	4563
81	403	4515
82	404	4472
83	406	4431
84	407	4387
85	408	4345
86	410	4309
87	411	4267
88	412	4225
89	413	4183
90	414	4142
91	415	4102
92	416	4066
93	418	4034
94	419	3997
95	421	3965
96	422	3929
97	423	3893
98	423	3856
99	424	3821
100	425	3786
101	426	3753
102	427	3721
103	428	3689
104	429	3657
105	430	3627
106	431	3598
107	433	3577
108	435	3562
109	437	3538
110	438	3510
111	439	3482
112	440	3455
113	441	3427
114	441	3400
115	442	3373
116	443	3348
117	444	3323
118	445	3300
119	446	3277
120	447	3251
121	448	3228
122	449	3207
123	451	3187
124	452	3167
125	453	3144
126	454	3121
127	454	3098
128	455	3076
129	456	3054
130	457	3032
131	457	3010
132	458	2989
133	459	2968
134	460	2950
135	461	2934
136	463	2919
137	464	2902
138	465	2885
139	466	2867
140	467	2849
141	468	2831
142	469	2814
143	470	2798
144	471	2781
145	472	2763
146	473	2747
147	474	2731
148	475	2716
149	476	2700
150	477	2682
151	478	2667
152	479	2653
153	481	2642
154	482	2627
155	482	2613
156	483	2598
157	484	2583
158	485	2568
159	486	2552
