iter	Passed	Remaining
0	154	154239
1	157	78683
2	160	53479
3	164	40966
4	168	33442
5	171	28454
6	175	24830
7	178	22175
8	181	20027
9	185	18367
10	188	16991
11	192	15844
12	196	14930
13	200	14113
14	204	13411
15	207	12744
16	211	12205
17	214	11688
18	217	11223
19	220	10810
20	223	10432
21	227	10117
22	230	9800
23	234	9522
24	237	9248
25	240	9026
26	244	8804
27	247	8603
28	250	8400
29	255	8258
30	258	8073
31	261	7922
32	265	7779
33	269	7664
34	273	7536
35	276	7398
36	280	7292
37	283	7189
38	287	7081
39	290	6981
40	294	6891
41	298	6809
42	301	6707
43	305	6631
44	308	6541
45	311	6469
46	314	6367
47	316	6270
48	318	6177
49	320	6085
50	323	6011
51	325	5931
52	327	5847
53	329	5777
54	332	5706
55	334	5637
56	336	5572
57	338	5503
58	341	5441
59	343	5382
60	345	5317
61	347	5259
62	349	5202
63	351	5144
64	354	5093
65	356	5037
66	357	4982
67	359	4932
68	361	4883
69	363	4834
70	366	4790
71	369	4758
72	371	4712
73	373	4675
74	375	4636
75	378	4597
76	380	4562
77	383	4528
78	386	4507
79	388	4472
80	390	4433
81	393	4404
82	394	4356
83	395	4315
84	398	4293
85	401	4262
86	402	4223
87	403	4185
88	405	4149
89	407	4115
90	408	4078
91	409	4043
92	411	4008
93	412	3973
94	413	3935
95	414	3899
96	414	3863
97	416	3830
98	417	3802
99	418	3769
100	419	3735
101	420	3702
102	421	3669
103	422	3636
104	423	3608
105	424	3578
106	425	3552
107	426	3521
108	427	3490
109	427	3460
110	428	3431
111	429	3405
112	430	3379
113	431	3351
114	431	3324
115	432	3297
116	433	3269
117	433	3243
118	434	3217
119	435	3192
120	436	3168
121	436	3142
122	437	3117
123	437	3092
124	438	3068
125	438	3044
126	439	3019
127	439	2997
128	440	2975
129	441	2952
130	441	2931
131	442	2910
132	443	2888
133	443	2867
134	444	2846
135	444	2825
136	445	2805
137	445	2784
138	446	2765
139	446	2745
140	447	2726
141	447	2706
142	448	2688
143	449	2670
144	449	2651
145	450	2633
146	450	2615
147	451	2598
148	452	2581
149	452	2564
150	453	2548
151	453	2532
152	454	2516
153	455	2501
154	455	2485
155	456	2469
156	457	2454
157	457	2438
158	458	2423
159	458	2407
160	459	2392
161	459	2377
162	460	2362
163	461	2352
164	462	2340
165	462	2326
166	463	2312
167	464	2298
168	464	2284
169	465	2271
170	465	2257
171	466	2244
172	467	2233
173	467	2220
174	468	2210
175	469	2198
176	470	2185
177	470	2173
178	471	2161
179	472	2150
180	472	2138
181	473	2127
182	474	2116
183	474	2105
184	475	2094
185	475	2082
186	476	2071
187	476	2060
188	477	2048
189	478	2037
190	478	2027
191	479	2016
192	479	2006
193	480	1997
194	481	1986
195	481	1976
196	482	1965
197	482	1955
198	483	1945
199	483	1935
200	484	1925
201	485	1916
202	486	1908
203	486	1900
204	487	1890
205	488	1881
206	488	1872
207	489	1862
208	489	1853
209	490	1844
210	490	1835
211	491	1826
212	492	1819
213	493	1810
214	493	1803
215	494	1794
216	494	1785
217	495	1777
218	495	1768
219	496	1760
220	497	1751
221	497	1743
222	498	1736
223	499	1729
224	499	1721
225	500	1713
226	501	1706
227	501	1698
228	502	1691
229	502	1683
230	503	1676
231	504	1669
232	505	1665
233	506	1658
234	507	1651
235	507	1644
236	508	1637
237	509	1629
238	509	1622
239	510	1615
240	511	1611
241	512	1605
242	513	1600
243	514	1593
244	514	1586
245	515	1579
246	516	1573
247	517	1568
248	518	1562
249	519	1557
250	519	1551
251	520	1545
252	521	1538
253	521	1532
254	522	1526
255	523	1520
256	524	1515
257	524	1509
258	525	1504
259	526	1498
260	527	1492
261	527	1486
262	528	1480
263	528	1473
264	529	1469
265	530	1464
266	531	1459
267	532	1453
268	532	1447
269	533	1441
270	533	1436
271	534	1430
272	534	1424
273	535	1419
274	536	1414
275	537	1409
276	537	1404
277	538	1398
278	539	1393
279	539	1387
280	540	1382
281	540	1376
282	541	1371
283	542	1367
284	543	1362
285	543	1357
286	544	1352
287	544	1347
288	545	1342
289	546	1337
290	546	1331
291	547	1326
292	547	1322
293	549	1319
294	550	1314
295	550	1310
296	551	1305
297	552	1300
298	552	1295
299	553	1290
300	553	1286
301	555	1284
302	556	1280
303	557	1276
304	558	1272
305	558	1267
306	559	1262
307	560	1258
308	561	1255
309	562	1251
310	563	1248
311	564	1243
312	564	1239
313	565	1234
314	565	1230
315	566	1225
316	567	1222
317	568	1218
318	569	1215
319	569	1210
320	570	1206
321	570	1202
322	571	1197
323	572	1193
324	572	1189
325	574	1187
326	575	1183
327	576	1180
328	576	1176
329	577	1171
330	577	1167
331	578	1163
332	578	1159
333	580	1156
334	580	1153
335	581	1149
336	582	1146
337	583	1142
338	584	1138
339	584	1134
340	585	1131
341	586	1128
342	587	1125
343	587	1121
344	588	1117
345	589	1113
346	589	1109
347	590	1105
348	590	1101
349	591	1098
350	593	1096
351	593	1093
352	594	1089
353	595	1086
354	595	1082
355	596	1078
356	596	1075
357	598	1073
358	599	1070
359	600	1067
360	601	1064
361	601	1060
362	602	1057
363	602	1053
364	604	1050
365	605	1048
366	605	1045
367	606	1041
368	607	1038
369	607	1035
370	608	1031
371	609	1028
372	609	1025
373	610	1022
374	611	1019
375	612	1016
376	612	1012
377	613	1009
378	614	1006
379	614	1002
380	615	999
381	616	996
382	616	993
383	617	991
384	618	988
385	619	984
386	619	981
387	620	978
388	620	974
389	621	971
390	621	968
391	622	966
392	623	963
393	624	960
394	625	957
395	625	954
396	626	950
397	626	947
398	627	944
399	627	941
400	628	939
401	629	936
402	630	933
403	630	930
404	631	927
405	631	924
406	632	921
407	632	918
408	633	915
409	633	912
410	634	909
411	635	906
412	635	903
413	636	900
414	636	897
415	637	894
416	637	891
417	638	889
418	639	886
419	639	883
420	640	880
421	641	878
422	642	875
423	642	873
424	643	870
425	643	867
426	644	864
427	644	861
428	645	859
429	646	856
430	646	853
431	647	851
432	648	849
433	649	846
434	649	843
435	650	841
436	650	838
437	651	835
438	651	833
439	652	830
440	653	827
441	653	825
442	654	822
443	655	820
444	655	817
445	656	815
446	657	812
447	657	810
448	658	807
449	658	805
450	659	802
451	660	800
452	660	798
453	661	795
454	662	792
455	662	790
456	663	787
457	663	785
458	664	782
459	664	780
460	665	777
461	665	775
462	667	773
463	667	771
464	668	768
465	668	766
466	669	763
467	669	761
468	670	759
469	670	756
470	671	754
471	672	752
472	673	749
473	673	747
474	674	745
475	674	743
476	675	740
477	675	738
478	676	735
479	677	733
480	677	731
481	678	728
482	678	726
483	679	724
484	680	722
485	680	719
486	681	717
487	681	715
488	682	713
489	682	710
490	683	708
491	684	706
492	685	704
493	685	702
494	686	700
495	687	698
496	687	696
497	688	693
498	688	691
499	689	689
500	689	687
501	690	684
502	691	683
503	692	681
504	692	679
505	693	677
506	693	674
507	694	672
508	695	670
509	695	668
510	696	666
511	696	664
512	697	662
513	698	660
514	698	658
515	699	655
516	699	653
517	700	651
518	700	649
519	701	647
520	701	645
521	702	643
522	702	641
523	703	639
524	704	637
525	704	635
526	705	633
527	706	631
528	706	629
529	707	627
530	707	625
531	708	622
532	708	620
533	709	618
534	710	617
535	710	615
536	711	613
537	711	611
538	712	609
539	712	607
540	713	605
541	714	603
542	714	601
543	715	599
544	715	597
545	716	595
546	717	593
547	717	592
548	718	590
549	718	588
550	719	586
551	719	584
552	720	582
553	720	580
554	721	578
555	722	576
556	722	574
557	723	572
558	723	571
559	724	569
560	724	567
561	725	565
562	726	563
563	726	561
564	727	559
565	727	557
566	728	556
567	729	554
568	730	553
569	730	551
570	731	549
571	731	547
572	732	545
573	732	543
574	733	542
575	734	540
576	734	538
577	735	537
578	736	535
579	737	533
580	737	531
581	738	530
582	738	528
583	739	526
584	739	524
585	740	523
586	740	521
587	741	519
588	742	518
589	743	516
590	743	514
591	744	512
592	744	511
593	745	509
594	746	507
595	746	506
596	747	504
597	747	502
598	748	501
599	749	499
600	749	497
601	750	496
602	750	494
603	751	492
604	751	490
605	752	489
606	752	487
607	753	485
608	755	485
609	757	484
610	757	482
611	758	480
612	758	479
613	759	477
614	759	475
615	760	474
616	761	472
617	762	471
618	763	469
619	763	468
620	764	466
621	764	464
622	765	463
623	766	461
624	767	460
625	767	458
626	768	457
627	769	455
628	769	453
629	770	452
630	770	450
631	771	449
632	771	447
633	772	445
634	773	444
635	774	443
636	774	441
637	775	439
638	776	438
639	776	436
640	777	435
641	777	433
642	778	432
643	779	430
644	780	429
645	780	427
646	781	426
647	782	424
648	782	423
649	783	421
650	783	420
651	784	418
652	784	416
653	785	415
654	786	414
655	786	412
656	787	410
657	787	409
658	788	407
659	788	406
660	789	404
661	789	403
662	790	401
663	790	400
664	791	398
665	792	397
666	793	395
667	793	394
668	794	392
669	794	391
670	795	389
671	795	388
672	796	386
673	796	385
674	797	383
675	798	382
676	798	381
677	799	379
678	800	378
679	800	376
680	801	375
681	801	373
682	802	372
683	803	371
684	803	369
685	804	368
686	805	366
687	805	365
688	806	363
689	806	362
690	807	361
691	807	359
692	808	358
693	809	356
694	809	355
695	810	353
696	810	352
697	811	351
698	812	349
699	812	348
700	813	346
701	813	345
702	814	344
703	814	342
704	815	341
705	816	339
706	816	338
707	818	337
708	818	336
709	819	334
710	819	333
711	820	331
712	821	330
713	821	329
714	822	327
715	822	326
716	823	325
717	824	323
718	825	322
719	825	321
720	826	319
721	826	318
722	827	317
723	827	315
724	828	314
725	829	312
726	829	311
727	830	310
728	831	308
729	831	307
730	832	306
731	832	304
732	833	303
733	833	302
734	834	300
735	835	299
736	835	298
737	836	296
738	837	295
739	837	294
740	838	293
741	838	291
742	839	290
743	839	288
744	840	287
745	841	286
746	841	285
747	842	283
748	843	282
749	843	281
750	844	279
751	845	278
752	845	277
753	846	276
754	847	274
755	848	273
756	848	272
757	849	271
758	850	269
759	850	268
760	851	267
761	852	266
762	852	264
763	853	263
764	854	262
765	855	261
766	856	260
767	856	258
768	857	257
769	858	256
770	858	255
771	859	253
772	859	252
773	860	251
774	861	250
775	862	248
776	863	247
777	863	246
778	864	245
779	864	243
780	865	242
781	865	241
782	866	240
783	867	239
784	868	237
785	869	236
786	870	235
787	870	234
788	871	232
789	871	231
790	872	230
791	872	229
792	873	228
793	874	226
794	875	225
795	875	224
796	876	223
797	877	222
798	877	220
799	878	219
800	878	218
801	879	217
802	880	215
803	880	214
804	881	213
805	881	212
806	882	211
807	882	209
808	883	208
809	884	207
810	884	206
811	885	204
812	885	203
813	886	202
814	887	201
815	887	200
816	888	198
817	888	197
818	889	196
819	890	195
820	890	194
821	891	192
822	891	191
823	892	190
824	893	189
825	893	188
826	894	187
827	894	185
828	895	184
829	895	183
830	896	182
831	896	181
832	897	179
833	898	178
834	899	177
835	899	176
836	900	175
837	900	174
838	901	172
839	901	171
840	902	170
841	903	169
842	903	168
843	904	167
844	904	165
845	905	164
846	905	163
847	906	162
848	907	161
849	907	160
850	908	158
851	908	157
852	909	156
853	909	155
854	910	154
855	911	153
856	912	152
857	912	151
858	913	149
859	914	148
860	914	147
861	915	146
862	915	145
863	916	144
864	916	143
865	917	142
866	918	140
867	919	139
868	919	138
869	920	137
870	920	136
871	921	135
872	922	134
873	922	133
874	923	131
875	923	130
876	924	129
877	925	128
878	925	127
879	926	126
880	926	125
881	927	124
882	927	122
883	928	121
884	929	120
885	929	119
886	930	118
887	931	117
888	932	116
889	932	115
890	933	114
891	933	113
892	934	111
893	935	110
894	935	109
895	936	108
896	937	107
897	937	106
898	938	105
899	938	104
900	939	103
901	939	102
902	940	101
903	940	99
904	941	98
905	942	97
906	943	96
907	943	95
908	944	94
909	945	93
910	945	92
911	946	91
912	946	90
913	947	89
914	947	88
915	949	87
916	949	85
917	950	84
918	951	83
919	951	82
920	952	81
921	952	80
922	953	79
923	953	78
924	954	77
925	956	76
926	956	75
927	957	74
928	958	73
929	958	72
930	959	71
931	959	70
932	960	68
933	960	67
934	961	66
935	962	65
936	963	64
937	963	63
938	964	62
939	964	61
940	965	60
941	966	59
942	966	58
943	967	57
944	967	56
945	968	55
946	969	54
947	969	53
948	970	52
949	970	51
950	971	50
951	971	49
952	972	47
953	972	46
954	973	45
955	974	44
956	974	43
957	975	42
958	976	41
959	976	40
960	977	39
961	977	38
962	978	37
963	978	36
964	979	35
965	979	34
966	980	33
967	981	32
968	981	31
969	982	30
970	982	29
971	983	28
972	983	27
973	984	26
974	985	25
975	985	24
976	986	23
977	986	22
978	987	21
979	988	20
980	988	19
981	989	18
982	989	17
983	990	16
984	990	15
985	991	14
986	991	13
987	992	12
988	993	11
989	993	10
990	994	9
991	994	8
992	995	7
993	995	6
994	996	5
995	996	4
996	997	3
997	998	2
998	998	0
999	1000	0
